Time,Region0Window0,Region0Window1,Region1Window0,Region1Window1
1000,NA,NA,NA,NA
2000,NA,NA,NA,NA
3000,NA,NA,NA,NA
4000,NA,NA,NA,NA
5000,NA,NA,NA,NA
6000,NA,NA,NA,NA
7000,NA,NA,NA,NA
8000,NA,NA,NA,NA
9000,NA,NA,NA,NA
10000,NA,NA,NA,NA
