111,19,0,0
145,39,0,1
185,7,0,0
244,28,0,1
503,26,0,1
654,13,0,0
812,18,0,0
859,34,0,1
865,19,0,0
984,36,0,1
1090,17,0,0
1203,33,0,1
1233,3,0,0
1307,2,0,0
1388,30,0,1
1474,28,0,1
1516,2,0,0
1526,34,0,1
1590,26,0,1
1711,5,0,0
1756,23,0,1
1820,0,0,0
2018,36,0,1
2025,2,0,0
2072,2,0,0
2148,10,0,0
2159,26,0,1
2385,38,0,1
2432,7,0,0
2520,7,0,0
2822,22,0,1
2844,29,0,1
2923,23,0,1
3064,23,0,1
3067,22,0,1
3236,0,0,0
3412,6,0,0
3484,2,0,0
3754,25,0,1
3946,16,0,0
4053,38,0,1
4125,35,0,1
4253,3,0,0
4363,33,0,1
4614,29,0,1
4673,30,0,1
4976,20,0,1
5065,38,0,1
5067,14,0,0
5286,25,0,1
5289,38,0,1
5343,18,0,0
5708,16,0,0
5895,19,0,0
6004,32,0,1
6038,2,0,0
6089,12,0,0
6165,30,0,1
6281,6,0,0
6317,29,0,1
6405,7,0,0
6560,1,0,0
6726,16,0,0
6815,22,0,1
7197,24,0,1
7243,0,0,0
7291,7,0,0
7303,18,0,0
7353,5,0,0
7519,32,0,1
7526,20,0,1
7977,28,0,1
8296,32,0,1
8419,38,0,1
8576,25,0,1
8846,4,0,0
8976,39,0,1
8997,17,0,0
9206,34,0,1
9210,13,0,0
9319,33,0,1
9469,33,0,1
9652,1,0,0
9664,14,0,0
9745,10,0,0
9770,37,0,1
9796,35,0,1
9820,12,0,0
